2024-10-22 15:39:58,846 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-10-22 15:39:58,885 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-10-22 15:39:58,886 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-10-22 15:39:58,886 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-10-22 15:39:58,888 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-10-22 15:39:58,888 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-10-22 15:39:58,889 INFO  SwAddin.cs: 201 - Setting up command manager
2024-10-22 15:39:58,889 INFO  SwAddin.cs: 204 - Adding command manager
2024-10-22 15:39:58,891 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-10-22 15:39:58,892 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-10-22 15:39:58,892 INFO  SwAddin.cs: 210 - Adding event handlers
2024-10-22 15:39:58,920 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-10-23 09:04:17,701 INFO  SwAddin.cs: 294 - Assembly export called for file 7dof_sw
2024-10-23 09:04:17,704 INFO  SwAddin.cs: 299 - Save is required
2024-10-23 09:04:17,704 INFO  SwAddin.cs: 313 - Saving assembly
2024-10-23 09:04:17,706 INFO  SwAddin.cs: 316 - Opening property manager
2024-10-23 09:04:17,721 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 7dof_sw
2024-10-23 09:04:17,728 INFO  ExportHelperExtension.cs: 1136 - Found 46 in 7dof_sw
2024-10-23 09:04:17,728 INFO  ExportHelperExtension.cs: 1145 - Found 6 features of type [CoordSys] in 7dof_sw
2024-10-23 09:04:17,729 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-10-23 09:04:17,730 INFO  ExportHelperExtension.cs: 1160 - 6 components to check
2024-10-23 09:04:17,732 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from link 3-1
